"","X","ifm_peak_frequency","ifm_stop","ifm_peak_freq_resolution","ifm_rms","ifm_region_id","ifm_peak_amplitude","ifm_start","ifm_terminal_frequency","ifm_duration","cf_peak_frequency","cf_stop","cf_peak_freq_resolution","cf_rms","cf_region_id","cf_peak_amplitude","cf_start","cf_terminal_frequency","cf_duration","tfm_peak_frequency","tfm_stop","tfm_peak_freq_resolution","tfm_rms","tfm_region_id","tfm_peak_amplitude","tfm_start","tfm_terminal_frequency","tfm_duration","audio_file","terminal_frequency_threshold","video_annot_id","num_bats","X0","duration","peak_freq_resolution","ifm.cf_dbratio","tfm.cf_dbratio","ifm.peak_db","tfm.peak_db","tfm_dbrms","ifm_dbrms","cf_dbrms","cf.peak_db","multi_bat","annot_id","rechour"
"219",218,102401.129943503,0.002496,1404.49438202247,0.00951819768615615,"fm1",0.0162353515625,0.00108,96751.4124293785,1.416,106493.506493507,0.027136,81.1424862057773,0.0234215909008377,"cf1",0.0430908203125,0.002496,106412.337662338,24.64,103027.34375,0.029184,972.762645914397,0.0211191625889612,"fm2",0.043670654296875,0.027136,92285.15625,2.048,"segment_matching_annotaudio_Aditya_2018-08-19_23_37_hp",-10,"Aditya_2018-08-19_23_37",3,NA,NA,NA,-15.3469188149863,-7.46649035556032,-36.106651396958,-28.2946969677327,-36.6442705310777,-44.5246989905036,-29.1777801755174,-24.0739214780793,"TRUE","2018-08-19_23_37","2018-08-19_23"
"220",219,102771.362586605,0.002108,1152.07373271889,0.0117069686043795,"fm1",0.030242919921875,0.000376,98152.4249422633,1.732,103770.910121917,0.016216,141.72335600907,0.0259940018466904,"cf1",0.052398681640625,0.002108,103629.146583499,14.108,103881.278538813,0.017968,1136.36363636364,0.0123104388124092,"fm2",0.032470703125,0.016216,95319.6347031964,1.752,"segment_matching_annotaudio_Aditya_2018-08-19_23_40_hp",-10,"Aditya_2018-08-19_23_40",1,NA,NA,NA,-7.43085713158959,-9.39832046210829,-23.4329520359613,-25.0694748712381,-31.6107367328173,-29.6432734022987,-22.2124162707091,-16.4820634164979,"FALSE","2018-08-19_23_40","2018-08-19_23"
"209",208,108407.079646018,0.002024,1470.58823529412,0.0410688618147649,"fm1",0.09100341796875,0.000668,105457.227138643,1.356,109767.025089606,0.033272,63.9877143588431,0.121147240020336,"cf1",0.226715087890625,0.002024,109639.016897081,31.248,106174.698795181,0.0346,1497.00598802395,0.0363115081473367,"fm2",0.07757568359375,0.033272,99397.5903614458,1.328,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_8_hp",-10,"Aditya_2018-08-19_0120-0200_8",1,NA,NA,NA,-8.90525188481331,-5.9428761090669,-27.6638049085735,-25.5230091166565,-31.8764406162442,-34.8388163919907,-25.9335645071773,-20.409219225531,"FALSE","2018-08-19_0120-0200_8","2018-08-19_0120-0200"
"196",195,106481.481481481,0.00166,2293.57798165138,0.0113730276102906,"fm1",0.027496337890625,0.000796,100694.444444444,0.864,108367.727987421,0.042364,49.1255649439969,0.0489030731324106,"cf1",0.1053466796875,0.00166,108343.160377359,40.704,106435.643564356,0.043576,1644.73684210526,0.0166943821718657,"fm2",0.032440185546875,0.042364,99009.900990099,1.212,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_13_hp",-10,"Aditya_2018-08-19_0120-0200_13",1,NA,NA,NA,-6.78231139125651,-6.05745123292004,-24.9094051662879,-23.4015240880126,-30.4920327135544,-31.2168928718909,-24.4345814806344,-18.1192449021287,"FALSE","2018-08-19_0120-0200_13","2018-08-19_0120-0200"
"197",196,107253.086419753,0.001576,1533.74233128834,0.0117570673509032,"fm1",0.018951416015625,0.00028,96450.6172839506,1.296,109444.171175603,0.042236,49.1835530198701,0.0300562661913042,"cf1",0.068572998046875,0.001576,109345.794392523,40.66,107007.575757576,0.043292,1879.6992481203,0.0082141886589689,"fm2",0.016754150390625,0.042236,96590.9090909091,1.056,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_14_hp",-10,"Aditya_2018-08-19_0120-0200_14",1,NA,NA,NA,-10.7269471153332,-4.10386106653293,-18.02793657945,-11.5146210521123,-16.5519280207646,-23.1750140695649,-12.4480669542316,-7.71713413183569,"FALSE","2018-08-19_0120-0200_14","2018-08-19_0120-0200"
"198",197,104651.162790698,0.001836,1923.07692307692,0.0180440903150625,"fm1",0.0355224609375,0.000804,96899.2248062016,1.032,106927.386339151,0.0204,107.71219302025,0.0332012721660579,"cf1",0.06402587890625,0.001836,106711.915535445,18.564,103544.776119403,0.021472,1851.85185185185,0.0130303426139947,"fm2",0.027587890625,0.0204,97014.9253731343,1.072,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_19_hp",-10,"Aditya_2018-08-19_0120-0200_19",1,NA,NA,NA,-5.9991321244877,-6.72638951799733,-26.1079817016916,-28.090473853866,-35.6348900819086,-34.9076326883989,-28.9085005639112,-23.9477319999391,"FALSE","2018-08-19_0120-0200_19","2018-08-19_0120-0200"
"199",198,105371.900826446,0.0026,NA,0.0443703126153004,"fm1",0.06768798828125,0.001632,95041.3223140496,0.968,107120.973389356,0.048296,NA,0.0934206314746557,"cf1",0.223907470703125,0.0026,107077.205882353,45.696,103909.465020576,0.049268,NA,0.038180924290026,"fm2",0.077362060546875,0.048296,101851.851851852,0.972,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_21_hp",-10,"Aditya_2018-08-19_0120-0200_21",1,NA,NA,2049.18032786885,1.60870912460541,-2.90620147209397,-11.1491951310578,-14.3747374335764,-21.2002324056342,-16.6853218089348,-18.2940309335402,-9.86043127548463,"FALSE","2018-08-19_0120-0200_21","2018-08-19_0120-0200"
"200",199,105357.142857143,0.001764,1773.04964539007,0.0198021157303402,"fm1",0.03594970703125,0.000644,100892.857142857,1.12,107545.760179305,0.055304,37.3524577917227,0.0965010907982758,"cf1",0.217193603515625,0.001764,107527.082555099,53.54,108231.707317073,0.05596,3012.04819277108,0.0169316276800057,"fm2",0.026123046875,0.055304,103658.536585366,0.656,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_22_hp",-10,"Aditya_2018-08-19_0120-0200_22",1,NA,NA,NA,-9.80062825329299,0.308229983664491,-35.4544960731004,-25.7615498534016,-32.1842482356936,-42.2931064726511,-32.4924782193581,-26.8161748459854,"FALSE","2018-08-19_0120-0200_22","2018-08-19_0120-0200"
"201",200,NA,NA,NA,NA,"",NA,NA,NA,NA,105677.764565993,0.014708,148.544266191325,0.0326080150126128,"cf1",0.06951904296875,0.001252,105603.448275862,13.456,104289.071680376,0.018112,586.854460093897,0.0219651068929522,"fm1",0.05096435546875,0.014708,88719.1539365452,3.404,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59_hp",-10,"Aditya_2018-08-19_0120-0200_59",3,NA,NA,NA,-9.65279029451402,-6.60783919219999,-30.6545309458235,-27.045771199654,-33.8883964946886,-36.9333475970026,-27.2805573024886,-20.6059317011213,"TRUE","2018-08-19_0120-0200_59","2018-08-19_0120-0200"
"202",201,100746.268656716,0.002128,1851.85185185185,0.0306314689518912,"fm1",0.048797607421875,0.001056,95149.2537313433,1.072,103236.159400909,0.017084,133.689839572193,0.0588619485375261,"cf1",0.106781005859375,0.002128,103102.43380583,14.956,101063.829787234,0.018776,1179.24528301887,0.0500492842897123,"fm2",0.09967041015625,0.017084,89243.4988179669,1.692,"segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_63_hp",-10,"Aditya_2018-08-19_0120-0200_63",1,NA,NA,NA,-10.8120926419775,-13.4401384601671,-34.1043483392927,-36.5762733139485,-43.5759112798679,-40.9478654616783,-30.1357728197008,-23.1388804693897,"FALSE","2018-08-19_0120-0200_63","2018-08-19_0120-0200"
